LID,Year,Val
40,2055,2.026039818
40,2056,2.022252718
40,2057,2.018465618
40,2058,2.014678518
40,2059,2.010891418
40,2060,2.007104318
41,2020,10.322613
41,2021,10.4074676
41,2022,10.4923222
41,2023,10.5771768
41,2024,10.6620314
41,2025,10.746886
41,2026,10.8173154
41,2027,10.8877448
41,2028,10.9581742
41,2029,11.0286036
41,2030,11.099033
41,2031,11.160311
41,2032,11.221589
41,2033,11.282867
41,2034,11.344145
41,2035,11.405423
41,2036,11.463013
41,2037,11.520603
41,2038,11.578193
41,2039,11.635783
41,2040,11.693373
41,2041,11.7505722
41,2042,11.8077714
41,2043,11.8649706
41,2044,11.9221698
41,2045,11.979369
41,2046,12.034308
41,2047,12.089247
41,2048,12.144186
41,2049,12.199125
41,2050,12.254064
41,2051,12.31270151
41,2052,12.36877061
41,2053,12.42483971
41,2054,12.48090881
41,2055,12.53697791
41,2056,12.59304701
41,2057,12.64911611
41,2058,12.70518521
41,2059,12.76125431
41,2060,12.81732341
42,2020,4.056285
42,2021,4.0323298
42,2022,4.0083746
42,2023,3.9844194
42,2024,3.9604642
42,2025,3.936509
42,2026,3.914825
42,2027,3.893141
42,2028,3.871457
42,2029,3.849773
42,2030,3.828089
42,2031,3.8066776
42,2032,3.7852662
42,2033,3.7638548
42,2034,3.7424434
42,2035,3.721032
42,2036,3.699323
42,2037,3.677614
42,2038,3.655905
42,2039,3.634196
42,2040,3.612487
42,2041,3.590403
42,2042,3.568319
42,2043,3.546235
42,2044,3.524151
42,2045,3.502067
42,2046,3.4801654
42,2047,3.4582638
42,2048,3.4363622
42,2049,3.4144606
42,2050,3.392559
42,2051,3.370358927
42,2052,3.348366127
42,2053,3.326373327
42,2054,3.304380527
42,2055,3.282387727
42,2056,3.260394927
42,2057,3.238402127
42,2058,3.216409327
42,2059,3.194416527
42,2060,3.172423727
